                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.643,                 3.6978,                 4.2193,                0.00353,                0.24453,                0.00373,                 0.0014,                 4.0286,                 3.7807,                 4.1307,                 0.0901,                 0.0011,                 0.0011
                      2,                 3.6577,                 3.5931,                 4.1602,                0.00359,                0.24851,                0.00462,                0.00172,                 3.9171,                 3.8675,                 4.0493,               0.079277,              0.0022772,              0.0022772
                      3,                 3.5696,                 3.5215,                  4.065,                0.00353,                0.24453,                  0.004,                0.00153,                  3.782,                 3.7367,                  3.948,               0.068431,              0.0034307,              0.0034307
                      4,                 3.5189,                 3.4756,                  3.956,                0.00362,                 0.2505,                0.00481,                0.00179,                  3.665,                 3.6221,                 3.8571,                0.05756,              0.0045604,              0.0045604
                      5,                 3.3705,                 3.3677,                 3.8589,                0.00356,                0.24652,                 0.0058,                0.00152,                 3.5077,                 3.5355,                 3.7423,               0.046666,              0.0056664,              0.0056664
                      6,                 3.3079,                 3.3289,                 3.7282,                0.00448,                0.31014,                0.00665,                0.00176,                 3.2636,                 3.4989,                 3.5925,               0.035749,              0.0067485,              0.0067485
                      7,                 3.1339,                  3.225,                 3.5452,                0.01055,                0.72962,                0.05934,                0.01574,                 2.9181,                 3.1571,                 3.2003,               0.024807,               0.007807,               0.007807
                      8,                 3.0816,                 2.9878,                 3.3445,                0.09823,                0.15109,                 0.0469,                0.01463,                  2.835,                 12.364,                 3.2628,               0.013842,              0.0088416,              0.0088416
                      9,                 2.9211,                 2.5869,                  3.117,                0.23756,                0.24056,                0.15698,                0.05003,                 2.5682,                 3.9671,                 3.0957,               0.009208,               0.009208,               0.009208
                     10,                 2.7415,                 2.3791,                 2.9765,                0.10586,                0.35586,                0.13263,                0.04743,                 2.4308,                  10.99,                 3.2062,               0.009208,               0.009208,               0.009208
                     11,                 2.5675,                 2.2022,                 2.7888,                 0.2189,                0.40159,                0.23259,                 0.0832,                 2.3934,                 7.7715,                  3.037,               0.009109,               0.009109,               0.009109
                     12,                 2.4148,                  2.082,                 2.6612,                0.40299,                0.52485,                 0.4365,                0.17775,                 2.1664,                 5.7909,                 2.6671,                0.00901,                0.00901,                0.00901
                     13,                 2.3024,                 1.9655,                 2.5683,                  0.456,                0.35984,                0.39583,                0.17754,                 2.0298,                  3.217,                 2.5082,               0.008911,               0.008911,               0.008911
                     14,                 2.1866,                 1.8073,                 2.4305,                0.45574,                0.36779,                0.39155,                0.17354,                 2.1163,                 2.1425,                 2.4824,               0.008812,               0.008812,               0.008812
                     15,                  2.054,                 1.7308,                 2.3113,                0.59083,                0.57701,                0.61382,                0.28114,                 1.9679,                 2.0416,                 2.3561,               0.008713,               0.008713,               0.008713
                     16,                 1.9874,                 1.6474,                 2.2537,                0.68907,                0.59642,                0.67977,                0.32917,                 1.8195,                 2.0088,                 2.1751,               0.008614,               0.008614,               0.008614
                     17,                 1.9334,                 1.6034,                 2.1901,                0.75344,                0.62823,                0.70998,                0.36088,                 1.7448,                 1.4835,                 2.0452,               0.008515,               0.008515,               0.008515
