                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8897,                 3.6739,                 4.2423,                0.00348,                0.24056,                0.00782,                0.00258,                 4.1719,                 3.6646,                 4.1236,                 0.0865,                 0.0015,                 0.0015
                      2,                 3.7459,                 3.5361,                 4.1315,                0.00411,                0.28429,                0.00681,                0.00238,                 4.0559,                 3.7225,                  4.021,               0.072069,              0.0030693,              0.0030693
                      3,                 3.6922,                 3.4014,                 4.0047,                0.00491,                0.33996,                0.00845,                 0.0028,                 3.9762,                 3.5434,                 3.9263,               0.057607,              0.0046069,              0.0046069
                      4,                 3.5648,                 3.1565,                 3.7937,                0.00514,                0.35586,                0.02145,                0.00607,                 3.8397,                 3.5084,                 3.7636,               0.043113,              0.0061129,              0.0061129
                      5,                 3.4192,                 2.9047,                 3.5249,                0.01049,                0.72565,                0.07707,                0.02189,                 3.3697,                 2.9552,                 3.3507,               0.028587,              0.0075872,              0.0075872
                      6,                 3.0802,                  2.576,                 3.2148,                0.40348,                0.28508,                0.25822,                0.07767,                 3.0489,                  2.452,                 2.9838,                0.01403,              0.0090297,              0.0090297
                      7,                 2.8354,                 2.2987,                 2.9376,                0.27551,                0.31412,                0.21689,                0.07323,                 2.8571,                 2.6858,                 2.8897,               0.009406,               0.009406,               0.009406
                      8,                 2.5964,                 2.0654,                 2.6999,                0.46484,                0.48524,                0.41178,                0.17605,                 2.3677,                 2.2189,                 2.4336,               0.009406,               0.009406,               0.009406
                      9,                 2.4594,                 1.8469,                 2.5015,                0.43619,                0.50497,                0.42513,                0.16668,                 2.4896,                 2.4547,                 2.4595,               0.009307,               0.009307,               0.009307
                     10,                 2.3214,                 1.6836,                  2.354,                0.69175,                0.58893,                0.63877,                0.26881,                 2.2738,                 1.7129,                 2.3397,               0.009208,               0.009208,               0.009208
                     11,                 2.2205,                 1.6027,                  2.259,                0.70239,                0.60636,                 0.6796,                0.31666,                  2.276,                 1.5263,                 2.2688,               0.009109,               0.009109,               0.009109
                     12,                 2.1681,                 1.5424,                 2.2213,                0.53035,                0.51491,                 0.5201,                0.17991,                 2.3883,                 2.2771,                 2.3504,                0.00901,                0.00901,                0.00901
                     13,                 2.0897,                 1.4931,                 2.1476,                0.72928,                0.64811,                0.72876,                0.34059,                 2.1622,                 1.4462,                 2.1407,               0.008911,               0.008911,               0.008911
                     14,                 2.0484,                 1.4325,                 2.0821,                 0.7087,                0.60835,                0.68065,                0.31121,                 2.1391,                 1.7507,                 2.1349,               0.008812,               0.008812,               0.008812
                     15,                 2.0097,                 1.4017,                 2.0443,                0.83487,                0.68349,                0.77941,                0.41473,                 1.9968,                 1.3847,                 1.9933,               0.008713,               0.008713,               0.008713
                     16,                 1.9584,                 1.3604,                 1.9952,                0.81286,                0.66492,                0.78728,                0.42593,                 1.9974,                 1.3006,                 1.9378,               0.008614,               0.008614,               0.008614
