                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6879,                 3.6655,                 4.2143,                0.00356,                0.24652,                0.00359,                0.00136,                  3.949,                 3.5767,                 4.0743,                 0.0793,                 0.0023,                 0.0023
                      2,                 3.6077,                 3.5211,                 4.0625,                 0.0042,                0.29026,                0.00477,                0.00182,                 3.7324,                 3.6406,                 3.9152,               0.057653,              0.0046535,              0.0046535
                      3,                 3.5183,                 3.4551,                 3.9259,                0.00566,                0.39165,                0.00892,                0.00296,                 3.5388,                 3.4796,                 3.7866,               0.035959,              0.0069594,              0.0069594
                      4,                 3.2755,                 3.2825,                 3.7003,                0.00968,                0.66998,                 0.0412,                0.01124,                 3.0657,                 3.1031,                 3.4645,               0.014218,              0.0092178,              0.0092178
                      5,                 3.1472,                 3.0953,                 3.4501,                0.04984,                0.15109,                0.02893,                0.00831,                 2.9518,                 21.653,                 3.8685,               0.009604,               0.009604,               0.009604
                      6,                  2.996,                 2.7903,                 3.2158,                0.09152,                0.36183,                0.12088,                0.03257,                 2.6643,                  16.34,                 3.1656,               0.009604,               0.009604,               0.009604
                      7,                 2.8419,                 2.5413,                 3.0537,                0.18252,                0.40954,                0.23507,                0.07348,                 2.4694,                 10.887,                 3.0136,               0.009505,               0.009505,               0.009505
                      8,                 2.6463,                 2.3183,                 2.8661,                0.23836,                 0.4493,                0.28454,                0.10335,                 2.2123,                 9.3286,                 2.6574,               0.009406,               0.009406,               0.009406
                      9,                   2.46,                 2.1229,                  2.686,                0.30446,                0.32207,                0.28016,                0.09947,                 2.3288,                 2.9605,                 2.6985,               0.009307,               0.009307,               0.009307
                     10,                 2.3101,                 1.9911,                 2.5549,                0.54887,                0.44533,                0.47964,                0.19481,                 2.0053,                 2.2523,                 2.3655,               0.009208,               0.009208,               0.009208
                     11,                 2.2297,                 1.8631,                 2.4507,                0.50101,                0.50103,                0.50466,                0.22239,                 1.9405,                 1.8114,                  2.282,               0.009109,               0.009109,               0.009109
                     12,                 2.0976,                 1.7444,                 2.3167,                0.58091,                0.58052,                 0.5979,                0.26996,                 1.8748,                 1.7321,                 2.2051,                0.00901,                0.00901,                0.00901
                     13,                 2.0399,                 1.6805,                 2.2633,                0.68268,                0.62874,                  0.692,                0.29907,                 1.9244,                 1.4837,                 2.1912,               0.008911,               0.008911,               0.008911
                     14,                 1.9464,                 1.6004,                 2.1534,                0.76685,                0.64083,                0.72555,                0.35298,                 1.8087,                 1.5119,                 2.0507,               0.008812,               0.008812,               0.008812
                     15,                  1.917,                 1.5645,                 2.1104,                0.81719,                0.63099,                0.73674,                0.36651,                 1.7792,                 1.4866,                 2.0346,               0.008713,               0.008713,               0.008713
                     16,                  1.835,                 1.5384,                 2.0792,                0.83507,                0.62624,                0.75847,                0.38657,                 1.7264,                 1.3044,                 1.9866,               0.008614,               0.008614,               0.008614
                     17,                 1.8259,                 1.4699,                 2.0045,                0.74628,                0.67831,                0.75044,                0.38941,                  1.666,                 1.2877,                 1.8926,               0.008515,               0.008515,               0.008515
                     18,                 1.7745,                 1.4266,                 1.9548,                0.75919,                0.66203,                0.75426,                0.40624,                 1.6215,                 1.2552,                 1.8468,               0.008416,               0.008416,               0.008416
                     19,                 1.7399,                 1.3859,                 1.9179,                0.83695,                0.67355,                0.78246,                0.40366,                 1.6519,                 1.3047,                 1.8832,               0.008317,               0.008317,               0.008317
                     20,                 1.7175,                 1.4157,                 1.9135,                0.80698,                 0.6982,                0.78675,                0.38506,                 1.7464,                 1.2811,                 1.9291,               0.008218,               0.008218,               0.008218
                     21,                 1.7181,                 1.3835,                 1.8867,                0.80105,                0.70441,                0.80274,                0.42815,                 1.6151,                 1.1912,                   1.81,               0.008119,               0.008119,               0.008119
                     22,                 1.6552,                 1.3062,                 1.8285,                0.80446,                0.68986,                0.79161,                0.40819,                 1.6851,                 1.2085,                 1.8673,                0.00802,                0.00802,                0.00802
                     23,                 1.6311,                 1.2799,                 1.7975,                0.76683,                0.74155,                0.79096,                0.41818,                 1.6076,                 1.2179,                 1.7757,               0.007921,               0.007921,               0.007921
                     24,                 1.5946,                 1.2963,                 1.7883,                0.85005,                0.68986,                0.80353,                0.45967,                  1.534,                 1.1279,                 1.7206,               0.007822,               0.007822,               0.007822
                     25,                 1.5792,                 1.2428,                 1.7691,                0.82694,                0.72167,                0.82167,                0.46802,                 1.5226,                 1.0958,                 1.7147,               0.007723,               0.007723,               0.007723
                     26,                 1.5911,                 1.2358,                 1.7486,                0.84387,                 0.6877,                0.81325,                0.44245,                 1.5859,                 1.1418,                 1.7434,               0.007624,               0.007624,               0.007624
                     27,                 1.6063,                 1.2183,                  1.727,                0.86457,                0.69806,                0.82965,                0.46014,                 1.5491,                 1.1014,                 1.6795,               0.007525,               0.007525,               0.007525
                     28,                 1.5562,                 1.2044,                 1.7141,                0.84009,                0.70775,                0.81835,                0.48661,                 1.4593,                 1.0742,                   1.63,               0.007426,               0.007426,               0.007426
                     29,                 1.5417,                 1.1959,                 1.6941,                0.83912,                0.74659,                0.83919,                0.49048,                 1.4634,                  1.044,                 1.6385,               0.007327,               0.007327,               0.007327
                     30,                    1.5,                 1.1403,                 1.6511,                0.85255,                0.72366,                0.83537,                0.47556,                 1.5403,                 1.0791,                 1.7065,               0.007228,               0.007228,               0.007228
                     31,                 1.5057,                 1.1451,                 1.6591,                0.82724,                0.74354,                0.84148,                 0.4743,                 1.5046,                 1.0864,                  1.665,               0.007129,               0.007129,               0.007129
                     32,                 1.4834,                 1.1195,                 1.6202,                0.83614,                0.74055,                0.84342,                0.48174,                 1.4991,                 1.0644,                 1.6419,                0.00703,                0.00703,                0.00703
                     33,                 1.4773,                 1.1128,                 1.6276,                0.82597,                0.75547,                0.83822,                0.48802,                  1.478,                 1.0834,                 1.6423,               0.006931,               0.006931,               0.006931
