                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8357,                 3.6963,                 4.2169,                0.00359,                0.24851,                0.00535,                0.00179,                 4.0914,                 3.5652,                 4.0965,                 0.0811,                 0.0021,                 0.0021
                      2,                 3.7626,                 3.5506,                 4.0891,                0.00408,                0.28231,                0.00621,                0.00217,                 3.9551,                 3.7099,                  3.975,               0.061257,              0.0042574,              0.0042574
                      3,                  3.686,                  3.388,                 3.9076,                0.00532,                0.36779,                0.00944,                0.00276,                 3.8336,                 3.5193,                 3.8595,               0.041371,              0.0063713,              0.0063713
                      4,                 3.4812,                 3.1095,                  3.636,                0.00833,                0.57654,                0.04002,                0.00991,                 3.4623,                 3.2311,                 3.5251,               0.021442,              0.0084416,              0.0084416
                      5,                  3.259,                 2.8765,                 3.3859,                0.13612,                  0.167,                0.09822,                 0.0284,                 3.0292,                 2.5709,                 3.1123,               0.009604,               0.009604,               0.009604
                      6,                 3.0635,                 2.5667,                 3.1387,                0.35176,                0.32257,                0.26007,                0.07741,                 2.8888,                  2.262,                 3.0275,               0.009604,               0.009604,               0.009604
                      7,                 2.8083,                  2.274,                 2.8841,                0.32122,                0.35189,                 0.2595,                0.09312,                 2.6229,                 2.1642,                 2.7563,               0.009505,               0.009505,               0.009505
                      8,                 2.6242,                 2.1082,                  2.738,                0.33401,                0.46123,                0.30863,                0.11213,                 2.5796,                 2.0983,                 2.7125,               0.009406,               0.009406,               0.009406
                      9,                 2.5311,                 1.9434,                 2.5768,                0.46716,                0.50497,                0.45234,                0.18282,                 2.4188,                 1.9816,                 2.5057,               0.009307,               0.009307,               0.009307
                     10,                 2.5009,                 1.7899,                 2.5103,                0.60219,                0.58052,                0.58403,                0.27375,                 2.2268,                 1.7009,                 2.3294,               0.009208,               0.009208,               0.009208
                     11,                 2.3578,                  1.737,                 2.4381,                0.74494,                0.64215,                0.70963,                 0.3321,                 2.1975,                 1.4604,                 2.2456,               0.009109,               0.009109,               0.009109
                     12,                 2.2788,                 1.6375,                  2.356,                0.68637,                0.62028,                 0.6979,                0.32266,                 2.1847,                 1.4479,                 2.2439,                0.00901,                0.00901,                0.00901
                     13,                 2.2393,                 1.6496,                 2.2649,                0.77754,                0.67197,                0.73703,                0.38373,                 1.9921,                 1.3607,                 2.0792,               0.008911,               0.008911,               0.008911
                     14,                 2.1347,                 1.5027,                 2.2053,                0.76341,                0.66799,                 0.7482,                0.36974,                 2.0047,                 1.3613,                 2.0911,               0.008812,               0.008812,               0.008812
                     15,                 2.1257,                 1.5319,                  2.206,                 0.7141,                0.67594,                0.72167,                0.38143,                  1.938,                 1.3844,                 2.0011,               0.008713,               0.008713,               0.008713
                     16,                 2.0678,                 1.4573,                  2.118,                0.74725,                0.68191,                0.75033,                0.39916,                 1.9049,                 1.3844,                 2.0012,               0.008614,               0.008614,               0.008614
