                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6796,                 3.7177,                 4.2346,                0.00345,                0.23857,                0.00319,                0.00132,                  4.072,                   3.87,                 4.1593,                 0.0955,                 0.0005,                 0.0005
                      2,                 3.6528,                 3.6954,                 4.2179,                0.00348,                0.24056,                0.00288,                 0.0012,                  4.021,                 3.7636,                 4.1261,               0.090089,              0.0010891,              0.0010891
                      3,                  3.657,                 3.6192,                 4.1745,                0.00351,                0.24254,                 0.0032,                0.00124,                 3.9498,                 3.6179,                 4.0775,               0.084666,              0.0016663,              0.0016663
                      4,                 3.5701,                 3.5459,                  4.131,                0.00356,                0.24652,                0.00436,                0.00153,                 3.8883,                 3.7716,                 4.0304,               0.079232,              0.0022317,              0.0022317
                      5,                 3.5509,                 3.5008,                 4.0824,                0.00351,                0.24254,                0.00356,                 0.0014,                 3.8289,                 3.7804,                 3.9871,               0.073785,              0.0027852,              0.0027852
                      6,                 3.5051,                 3.4516,                 4.0295,                0.00359,                0.24851,                0.00374,                0.00142,                 3.7739,                 3.7652,                 3.9467,               0.068327,              0.0033267,              0.0033267
                      7,                 3.4576,                 3.4414,                 3.9797,                0.00359,                0.24851,                0.00391,                0.00148,                  3.722,                 3.7954,                 3.9082,               0.062856,              0.0038565,              0.0038565
                      8,                 3.3833,                 3.3828,                 3.9248,                0.00365,                0.25249,                0.00338,                 0.0013,                 3.6871,                 3.6302,                 3.8747,               0.057374,              0.0043743,              0.0043743
                      9,                 3.3406,                 3.3034,                 3.8418,                0.00287,                0.19881,                 0.0019,                0.00067,                  3.672,                 3.6884,                 3.8485,                0.05188,              0.0048802,              0.0048802
                     10,                 3.2671,                  3.223,                 3.7516,                0.00356,                0.24652,                0.00243,                0.00082,                 3.6652,                 3.7616,                 3.8304,               0.046374,              0.0053743,              0.0053743
                     11,                 3.2303,                 3.2088,                 3.6715,                0.00385,                 0.2664,                0.00381,                0.00147,                 3.6726,                 3.8189,                  3.822,               0.040857,              0.0058565,              0.0058565
                     12,                 3.1658,                 3.1469,                 3.5845,                0.00394,                0.27237,                0.00511,                0.00212,                 3.6911,                 3.7327,                 3.8234,               0.035327,              0.0063268,              0.0063268
                     13,                 3.0793,                 3.0399,                 3.4547,                0.00376,                0.26044,                0.00613,                0.00212,                 3.7114,                 3.7943,                 3.8337,               0.029785,              0.0067852,              0.0067852
                     14,                 3.0959,                 2.9799,                 3.3719,                0.00359,                0.24851,                0.00583,                0.00203,                 3.6803,                 3.7767,                 3.8121,               0.024232,              0.0072318,              0.0072318
                     15,                 2.9949,                 2.9451,                 3.3117,                0.00394,                0.27237,                0.00664,                0.00222,                 3.6146,                 3.7698,                 3.7884,               0.018666,              0.0076665,              0.0076665
                     16,                 2.9543,                 2.8865,                 3.2445,                0.00802,                0.38569,                0.01063,                0.00325,                 3.4155,                 3.7536,                 3.7014,               0.013089,              0.0080892,              0.0080892
                     17,                 2.8403,                 2.7992,                 3.1337,                0.01134,                0.54473,                0.02687,                0.00767,                 3.1666,                 3.5097,                 3.5232,               0.008416,               0.008416,               0.008416
                     18,                  2.785,                 2.7404,                  3.072,                0.12165,                0.09344,                0.04403,                0.01192,                 2.9665,                 2.9949,                 3.2873,               0.008416,               0.008416,               0.008416
                     19,                 2.7119,                 2.6908,                 2.9843,                0.16022,                0.19483,                0.08214,                0.02559,                 2.7509,                 2.8216,                 3.1766,               0.008317,               0.008317,               0.008317
                     20,                 2.6328,                 2.6446,                 2.9002,                0.10631,                  0.167,                0.05849,                0.01886,                 2.8126,                 3.2929,                 3.3896,               0.008218,               0.008218,               0.008218
                     21,                 2.5521,                 2.5558,                   2.85,                0.07491,                0.16302,                 0.0441,                0.01454,                 2.9116,                 3.7199,                  3.566,               0.008119,               0.008119,               0.008119
                     22,                 2.4995,                 2.4916,                 2.7619,                  0.126,                0.09145,                0.03619,                 0.0112,                 2.9984,                 5.3923,                 3.5745,                0.00802,                0.00802,                0.00802
